tid,team_name,tricode,competition_name,type,win,goals_for,goals_against,game_count,pp,pk,ppgf,win_pct,avg_gf,avg_ga
1,Toronto Maple Leafs,TOR,2010 NHL Regular Season,2,36,223.0,259.0,82,368,426,46.0,0.43902439024390244,2.7195121951219514,3.158536585365854
1,Toronto Maple Leafs,TOR,2013 NHL Regular Season,2,38,231.0,250.0,79,362,342,61.0,0.4810126582278481,2.9240506329113924,3.1645569620253164
1,Toronto Maple Leafs,TOR,2014 NHL Regular Season,2,29,209.0,258.0,78,319,343,54.0,0.3717948717948718,2.6794871794871793,3.3076923076923075
1,Toronto Maple Leafs,TOR,2015 NHL Regular Season,2,28,196.0,238.0,79,324,307,27.0,0.35443037974683544,2.481012658227848,3.0126582278481013
1,Toronto Maple Leafs,TOR,2016 NHL Regular Season,2,40,255.0,246.0,82,321,321,69.0,0.4878048780487805,3.1097560975609757,3.0
1,Toronto Maple Leafs,TOR,2017 NHL Regular Season,2,47,268.0,232.0,79,256,245,58.0,0.5949367088607594,3.392405063291139,2.9367088607594938
2,Montréal Canadiens,MTL,2010 NHL Regular Season,2,43,213.0,203.0,79,399,363,69.0,0.5443037974683544,2.6962025316455698,2.569620253164557
2,Montréal Canadiens,MTL,2013 NHL Regular Season,2,45,216.0,206.0,81,387,385,56.0,0.5555555555555556,2.6666666666666665,2.54320987654321
2,Montréal Canadiens,MTL,2014 NHL Regular Season,2,49,223.0,188.0,79,316,305,39.0,0.620253164556962,2.8227848101265822,2.3797468354430378
2,Montréal Canadiens,MTL,2015 NHL Regular Season,2,35,211.0,229.0,78,293,316,57.0,0.44871794871794873,2.7051282051282053,2.9358974358974357
2,Montréal Canadiens,MTL,2016 NHL Regular Season,2,47,231.0,203.0,82,307,286,50.0,0.573170731707317,2.817073170731707,2.475609756097561
2,Montréal Canadiens,MTL,2017 NHL Regular Season,2,27,205.0,258.0,79,300,278,53.0,0.34177215189873417,2.5949367088607596,3.2658227848101267
4,Winnipeg Jets,WPG,2013 NHL Regular Season,2,36,235.0,249.0,81,367,344,27.0,0.4444444444444444,2.9012345679012346,3.074074074074074
4,Winnipeg Jets,WPG,2014 NHL Regular Season,2,41,229.0,212.0,80,407,361,52.0,0.5125,2.8625,2.65
4,Winnipeg Jets,WPG,2015 NHL Regular Season,2,35,216.0,235.0,80,353,327,41.0,0.4375,2.7,2.9375
4,Winnipeg Jets,WPG,2016 NHL Regular Season,2,40,245.0,247.0,80,332,317,49.0,0.5,3.0625,3.0875
4,Winnipeg Jets,WPG,2017 NHL Regular Season,2,51,274.0,214.0,80,307,304,69.0,0.6375,3.425,2.675
5,Washington Capitals,WSH,2010 NHL Regular Season,2,45,219.0,201.0,81,360,329,69.0,0.5555555555555556,2.7037037037037037,2.4814814814814814
5,Washington Capitals,WSH,2013 NHL Regular Season,2,36,242.0,251.0,80,354,363,81.0,0.45,3.025,3.1375
5,Washington Capitals,WSH,2014 NHL Regular Season,2,45,251.0,209.0,81,351,328,75.0,0.5555555555555556,3.0987654320987654,2.580246913580247
5,Washington Capitals,WSH,2015 NHL Regular Season,2,54,245.0,186.0,78,304,303,67.0,0.6923076923076923,3.141025641025641,2.3846153846153846
5,Washington Capitals,WSH,2016 NHL Regular Season,2,54,265.0,186.0,81,329,306,67.0,0.6666666666666666,3.271604938271605,2.2962962962962963
5,Washington Capitals,WSH,2017 NHL Regular Season,2,48,255.0,240.0,81,327,297,67.0,0.5925925925925926,3.1481481481481484,2.962962962962963
6,Chicago Blackhawks,CHI,2010 NHL Regular Season,2,41,246.0,222.0,78,296,310,93.0,0.5256410256410257,3.1538461538461537,2.8461538461538463
6,Chicago Blackhawks,CHI,2013 NHL Regular Season,2,46,278.0,231.0,82,290,305,73.0,0.5609756097560976,3.3902439024390243,2.817073170731707
6,Chicago Blackhawks,CHI,2014 NHL Regular Season,2,46,232.0,189.0,80,252,307,53.0,0.575,2.9,2.3625
6,Chicago Blackhawks,CHI,2015 NHL Regular Season,2,44,228.0,207.0,80,267,297,61.0,0.55,2.85,2.5875
6,Chicago Blackhawks,CHI,2016 NHL Regular Season,2,50,248.0,215.0,82,251,269,46.0,0.6097560975609756,3.024390243902439,2.6219512195121952
6,Chicago Blackhawks,CHI,2017 NHL Regular Season,2,33,225.0,248.0,80,268,303,49.0,0.4125,2.8125,3.1
7,St. Louis Blues,STL,2010 NHL Regular Season,2,34,237.0,230.0,77,387,384,39.0,0.44155844155844154,3.0779220779220777,2.987012987012987
7,St. Louis Blues,STL,2013 NHL Regular Season,2,52,260.0,200.0,82,401,394,81.0,0.6341463414634146,3.1707317073170733,2.4390243902439024
7,St. Louis Blues,STL,2014 NHL Regular Season,2,49,243.0,199.0,79,347,332,63.0,0.620253164556962,3.0759493670886076,2.518987341772152
7,St. Louis Blues,STL,2015 NHL Regular Season,2,49,232.0,205.0,81,345,310,57.0,0.6049382716049383,2.8641975308641974,2.5308641975308643
7,St. Louis Blues,STL,2016 NHL Regular Season,2,46,236.0,217.0,81,311,289,56.0,0.5679012345679012,2.9135802469135803,2.6790123456790123
7,St. Louis Blues,STL,2017 NHL Regular Season,2,42,223.0,215.0,79,259,281,43.0,0.5316455696202531,2.8227848101265822,2.721518987341772
8,Pittsburgh Penguins,PIT,2010 NHL Regular Season,2,48,242.0,195.0,81,457,444,62.0,0.5925925925925926,2.9876543209876543,2.4074074074074074
8,Pittsburgh Penguins,PIT,2013 NHL Regular Season,2,49,241.0,202.0,80,333,356,79.0,0.6125,3.0125,2.525
8,Pittsburgh Penguins,PIT,2014 NHL Regular Season,2,43,229.0,218.0,82,407,380,54.0,0.524390243902439,2.792682926829268,2.658536585365854
8,Pittsburgh Penguins,PIT,2015 NHL Regular Season,2,46,245.0,204.0,81,313,320,42.0,0.5679012345679012,3.0246913580246915,2.5185185185185186
